Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
4,11,3,Laptop & Accessory,3,Married,2,0,2,183,0
10,6,4,Laptop & Accessory,3,Married,2,0,7,160,0
13,7,3,Grocery,5,Married,3,0,16,268,0
1,17,5,Mobile Phone,5,Single,8,1,1,149,1
8,6,3,Fashion,4,Married,2,0,6,173,0
11,,1,Mobile,3,Married,2,0,3,126,0
1,16,4,Mobile Phone,2,Single,3,0,3,151,0
15,15,3,Mobile Phone,1,Single,2,0,8,137,0
24,9,3,Fashion,3,Married,3,0,,231,0
30,7,4,Mobile Phone,5,Divorced,4,0,1,146,0
1,25,2,Laptop & Accessory,3,Married,4,0,3,187,0
1,16,4,Mobile Phone,5,Single,3,0,3,152,0
20,10,4,Grocery,3,Married,5,0,10,300,0
0,18,3,Laptop & Accessory,1,Single,4,1,7,146,1
1,23,4,Mobile Phone,4,Married,4,1,3,149,1
